age,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
58.0,3,1.0,0.0,2,2.0,1.0,11.0,30.78,48080.03,10,713,1.0,0.0,0.0,1.0,2,3
41.0,1,3.0,0.0,2,0.0,0.0,13.0,282.87,27528.03,27,743,1.0,0.0,0.0,1.0,3,3
30.0,0,3.0,1.0,1,2.0,2.0,20.0,100.42,86433.91,12,719,0.0,1.0,1.0,4.0,6,2
50.0,0,4.0,0.0,0,1.0,2.0,18.0,154.7,24197.4,29,731,0.0,1.0,1.0,2.0,7,3
23.0,3,1.0,2.0,2,3.0,2.0,10.0,65.25,5136.08,18,755,0.0,1.0,0.0,1.0,1,4
38.0,1,1.0,0.0,1,2.0,1.0,8.0,324.75,28535.13,27,770,1.0,1.0,1.0,2.0,1,3
20.0,0,5.0,2.0,2,1.0,0.0,16.0,237.39,25000.09,16,704,0.0,1.0,0.0,1.0,3,4
35.0,3,1.0,0.0,0,2.0,0.0,20.0,148.24,30984.56,11,729,1.0,0.0,0.0,1.0,1,3
43.0,1,4.0,2.0,2,0.0,2.0,16.0,773.83,9091.94,20,700,0.0,1.0,0.0,1.0,2,3
32.0,0,5.0,2.0,2,3.0,0.0,13.0,117.68,19822.82,43,749,1.0,0.0,0.0,1.0,7,3
40.0,1,3.0,1.0,1,2.0,0.0,18.0,251.06,63416.63,12,1087,0.0,1.0,1.0,3.0,4,2
40.0,1,5.0,2.0,0,2.0,2.0,13.09,46.57,24045.93,8,709,0.0,1.0,0.0,1.0,2,3
48.0,1,2.0,1.0,0,2.0,2.0,12.0,539.49,49270.76,12,503,1.0,0.0,0.0,1.0,7,5
35.0,1,4.0,0.0,1,2.0,1.0,12.0,34.48,48679.07,6,779,1.0,0.0,0.0,1.0,2,3
28.0,3,1.0,2.0,1,2.0,0.0,9.0,594.83,13131.05,13,820,1.0,1.0,0.0,1.0,5,1
44.0,2,2.0,2.0,2,0.0,2.0,13.0,283.49,7603.71,19,553,1.0,1.0,1.0,4.0,0,5
40.0,1,4.0,1.0,1,1.0,0.0,3.0,33.82,39735.58,25,784,1.0,0.0,1.0,0.0,7,2
18.0,0,0.0,2.0,0,2.0,1.0,20.0,156.06,4783.23,28,597,1.0,0.0,1.0,0.0,7,4
10.0,2,0.0,0.0,0,2.0,0.0,12.0,31.67,25436.23,16,656,0.0,1.0,0.0,1.0,3,4
35.0,1,2.0,2.0,2,2.0,1.0,4.0,157.03,22975.33,18,548,0.0,1.0,0.0,1.0,3,5
43.0,1,2.0,0.0,0,3.0,1.0,11.0,227.23,29602.15,24,663,0.0,1.0,1.0,4.0,2,4
28.0,3,0.0,0.0,1,1.0,1.0,4.0,457.33,20883.28,14,593,0.0,1.0,0.0,1.0,7,5
53.0,1,3.0,0.0,2,3.0,0.0,6.0,228.02,46353.54,19,302,1.0,0.0,1.0,0.0,0,3
55.0,1,4.0,0.0,0,2.0,1.0,18.0,42.77,8996.95,16,749,1.0,0.0,1.0,4.0,3,3
59.0,1,2.0,2.0,1,1.0,0.0,12.8,207.52,12556.28,10,675,0.0,1.0,0.0,1.0,0,4
39.0,0,2.0,0.0,1,1.0,1.0,13.0,98.57,2645.63,23,674,0.0,1.0,0.0,1.0,2,5
11.0,0,1.0,0.0,0,3.0,2.0,23.0,176.31,8983.02,25,707,0.0,1.0,1.0,2.0,2,4
37.0,3,2.0,1.0,2,0.0,1.0,17.0,687.16,29101.96,18,713,1.0,1.0,0.0,1.0,1,4
53.0,0,2.0,0.0,0,1.0,2.0,13.21,253.96,19233.1,25,1032,1.0,0.0,1.0,2.0,3,5
57.0,1,2.0,0.0,2,1.0,0.0,13.0,119.1,44341.82,18,563,1.0,0.0,1.0,0.0,1,5
47.0,1,5.0,1.0,2,3.0,2.0,10.0,131.86,26399.43,17,757,0.0,1.0,1.0,3.0,1,3
50.0,1,1.0,2.0,0,1.0,2.0,19.0,65.39,17054.69,21,353,0.0,1.0,1.0,2.0,0,3
49.0,0,5.0,2.0,1,3.0,2.0,3.0,74.9,41612.23,28,1196,0.0,1.0,1.0,3.0,0,4
54.0,1,5.0,1.0,0,2.0,1.0,20.0,206.89,42060.89,24,684,1.0,0.0,1.0,0.0,3,4
30.0,3,1.0,0.0,2,1.0,0.0,9.0,97.74,32347.7,27,724,0.0,1.0,0.0,1.0,1,3
25.0,0,5.0,1.0,2,3.0,1.0,13.0,135.21,3561.26,17,739,1.0,0.0,1.0,2.0,7,3
53.0,0,4.0,0.0,1,1.0,2.0,18.0,172.99,9044.15,8,763,1.0,0.0,1.0,3.0,4,1
54.0,2,0.0,2.0,0,2.0,0.0,13.0,254.72,11345.66,7,572,0.0,1.0,1.0,3.0,2,5
62.0,0,2.0,0.0,2,0.0,0.0,5.0,304.52,47658.52,29,699,0.0,1.0,1.0,2.0,7,4
55.0,0,3.0,2.0,0,0.0,1.0,1.0,1316.52,2367.56,25,441,1.0,0.0,0.0,1.0,0,4
30.0,2,2.0,1.0,0,1.0,2.0,13.0,264.54,40756.7,26,628,1.0,0.0,0.0,1.0,7,5
30.0,0,5.0,0.0,0,2.0,0.0,12.0,191.41,25575.44,18,648,0.0,1.0,1.0,3.0,1,4
51.0,1,4.0,2.0,2,1.0,2.0,13.0,135.09,48819.9,8,728,1.0,0.0,1.0,3.0,1,3
29.0,3,5.0,2.0,1,2.0,0.0,12.0,123.37,13032.52,6,681,1.0,0.0,0.0,1.0,0,4
16.0,0,5.0,1.0,1,1.0,0.0,9.0,355.31,20457.22,5,1233,1.0,1.0,1.0,3.0,2,3
25.0,3,1.0,2.0,2,2.0,1.0,11.0,31.88,35414.54,20,788,0.0,1.0,0.0,1.0,0,3
62.0,0,0.0,0.0,0,2.0,2.0,14.0,125.0,38802.24,28,668,0.0,1.0,1.0,4.0,0,4
24.0,1,4.0,2.0,2,1.0,0.0,5.0,181.34,43554.96,1,728,1.0,0.0,1.0,3.0,4,2
48.0,0,2.0,2.0,1,1.0,1.0,8.0,960.62,13954.02,17,631,0.0,1.0,1.0,2.0,1,4
56.0,3,0.0,2.0,0,1.0,2.0,24.0,48.59,28071.04,16,533,0.0,1.0,1.0,2.0,3,5
17.0,2,0.0,2.0,0,1.0,2.0,12.0,30.12,15027.14,12,612,0.0,1.0,0.0,1.0,0,5
23.0,1,1.0,2.0,2,1.0,2.0,21.0,727.69,4919.72,13,758,1.0,1.0,0.0,1.0,7,3
42.0,0,2.0,0.0,1,0.0,0.0,3.0,419.51,14661.42,19,404,0.0,1.0,1.0,3.0,0,5
59.0,3,1.0,2.0,2,0.0,1.0,8.0,899.04,49614.88,23,758,1.0,0.0,0.0,1.0,3,3
18.0,1,0.0,0.0,0,1.0,1.0,11.0,293.42,2521.3,19,964,1.0,0.0,1.0,0.0,1,5
23.0,0,1.0,2.0,0,1.0,2.0,10.0,934.35,11955.94,24,630,0.0,1.0,1.0,4.0,1,4
52.0,0,0.0,2.0,0,2.0,1.0,4.0,826.51,14877.24,25,522,1.0,0.0,0.0,1.0,1,5
49.0,1,4.0,2.0,1,1.0,1.0,21.0,115.41,41156.81,27,741,0.0,1.0,0.0,1.0,1,3
30.0,2,4.0,0.0,1,3.0,2.0,7.0,481.45,4207.45,28,776,1.0,1.0,0.0,1.0,1,3
31.0,1,0.0,0.0,1,1.0,1.0,14.0,148.95,2364.45,18,634,0.0,1.0,0.0,1.0,7,5
27.0,0,5.0,0.0,0,2.0,1.0,21.0,357.45,29825.45,9,665,0.0,1.0,1.0,2.0,3,4
56.0,0,1.0,0.0,2,1.0,0.0,21.0,1386.23,9454.17,19,778,1.0,0.0,0.0,1.0,7,3
11.0,2,5.0,0.0,0,1.0,0.0,15.0,96.14,11995.93,19,207,1.0,0.0,0.0,1.0,1,4
31.0,1,5.0,0.0,0,0.0,2.0,10.0,428.05,6325.08,28,80,0.0,1.0,0.0,1.0,2,4
29.0,1,4.0,0.0,1,1.0,2.0,14.0,42.48,16098.94,21,766,1.0,0.0,1.0,2.0,3,3
31.0,0,5.0,2.0,2,2.0,2.0,24.0,33.91,23226.43,7,762,0.0,1.0,1.0,2.0,1,3
11.0,1,0.0,0.0,1,1.0,1.0,8.0,1060.53,10990.31,16,271,1.0,0.0,0.0,1.0,2,5
14.0,1,0.0,0.0,0,1.0,1.0,11.42,1156.43,32302.27,24,520,0.0,1.0,0.0,1.0,1,5
26.0,0,5.0,2.0,1,2.0,1.0,7.0,187.91,17002.23,11,700,0.0,1.0,0.0,1.0,7,3
62.0,2,4.0,0.0,0,1.0,1.0,10.0,284.09,48305.86,15,730,0.0,1.0,0.0,1.0,3,3
51.0,3,3.0,0.0,2,1.0,0.0,3.0,298.75,40667.27,19,809,1.0,0.0,0.0,1.0,6,2
43.0,3,5.0,2.0,0,2.0,0.0,20.0,247.17,16186.76,8,633,1.0,0.0,0.0,1.0,1,4
23.0,1,1.0,1.0,1,1.0,0.0,12.0,109.76,46102.66,8,783,1.0,0.0,0.0,1.0,2,3
57.0,1,1.0,2.0,1,1.0,2.0,13.16,56.63,10171.97,23,757,1.0,0.0,1.0,3.0,0,3
17.0,2,1.0,2.0,1,2.0,2.0,21.0,81.15,46109.6,17,270,1.0,0.0,0.0,1.0,0,4
42.0,0,3.0,2.0,0,2.0,2.0,10.0,1195.73,31504.62,10,1207,1.0,0.0,0.0,1.0,1,3
21.0,0,5.0,0.0,0,3.0,1.0,7.0,99.95,22865.42,21,737,0.0,1.0,0.0,1.0,0,3
46.0,3,2.0,2.0,0,2.0,0.0,21.0,287.39,44809.68,27,629,0.0,1.0,0.0,1.0,2,4
41.0,2,5.0,2.0,1,1.0,0.0,11.43,892.02,36394.44,26,630,1.0,1.0,1.0,4.0,3,4
61.0,0,0.0,1.0,1,2.0,1.0,7.0,115.29,13019.31,14,164,1.0,0.0,1.0,3.0,2,4
15.0,0,4.0,1.0,1,1.0,0.0,5.0,185.05,43833.54,15,743,0.0,1.0,0.0,1.0,2,3
56.0,2,1.0,2.0,0,1.0,1.0,16.0,30.16,33886.44,5,670,0.0,1.0,0.0,1.0,1,4
35.0,0,1.0,0.0,2,0.0,0.0,17.0,219.13,70247.76,3,1293,1.0,1.0,0.0,1.0,8,1
57.0,1,2.0,2.0,0,2.0,2.0,8.0,400.35,30248.45,9,660,0.0,1.0,1.0,4.0,1,4
64.0,1,2.0,0.0,0,1.0,2.0,20.0,49.24,39981.97,12,648,1.0,0.0,1.0,2.0,7,5
21.0,1,0.0,2.0,0,2.0,1.0,16.0,590.85,21919.13,14,610,1.0,0.0,1.0,2.0,2,5
53.0,1,1.0,0.0,0,2.0,2.0,22.0,1142.15,34918.7,6,699,1.0,0.0,1.0,3.0,3,4
26.0,3,2.0,2.0,0,1.0,1.0,16.0,138.33,8025.77,29,1016,1.0,0.0,0.0,1.0,1,4
61.0,1,1.0,2.0,0,2.0,1.0,7.0,516.46,45544.33,29,780,0.0,1.0,1.0,4.0,7,3
30.0,1,2.0,0.0,2,1.0,0.0,19.0,211.19,2554.48,10,622,1.0,1.0,1.0,2.0,3,5
38.0,1,1.0,2.0,1,1.0,0.0,19.0,942.84,49037.16,6,713,0.0,1.0,0.0,1.0,0,3
35.0,0,1.0,0.0,2,2.0,0.0,10.0,267.45,32922.76,8,701,0.0,1.0,0.0,1.0,0,4
61.0,2,2.0,2.0,1,1.0,2.0,22.0,34.37,3862.41,10,602,0.0,1.0,0.0,1.0,7,5
53.0,0,1.0,0.0,0,1.0,1.0,19.0,213.34,8860.9,6,671,1.0,0.0,1.0,2.0,3,4
55.0,1,2.0,0.0,0,3.0,2.0,23.0,50.48,8944.54,25,626,1.0,0.0,1.0,4.0,1,5
23.0,0,0.0,2.0,0,2.0,2.0,13.0,1044.24,26060.01,22,684,1.0,0.0,1.0,2.0,3,4
11.0,1,4.0,2.0,1,0.0,1.0,12.0,628.79,33199.52,22,777,1.0,0.0,1.0,0.0,1,3
22.0,1,2.0,0.0,1,3.0,1.0,17.0,56.58,41050.72,15,665,1.0,0.0,1.0,2.0,3,4
37.0,3,5.0,2.0,1,2.0,0.0,11.0,172.07,23587.32,28,326,1.0,0.0,0.0,1.0,3,4
31.0,2,3.0,0.0,0,1.0,2.0,6.0,44.99,3087.16,8,750,1.0,0.0,0.0,1.0,0,3
20.0,0,3.0,0.0,1,2.0,1.0,11.0,144.33,54420.14,5,817,0.0,1.0,0.0,1.0,8,1
53.0,0,4.0,2.0,2,0.0,0.0,7.0,787.74,20129.88,12,839,1.0,0.0,1.0,3.0,5,1
38.0,0,0.0,1.0,1,3.0,0.0,26.0,30.49,37139.89,20,627,1.0,0.0,0.0,1.0,1,5
59.0,0,0.0,0.0,2,0.0,2.0,8.0,400.21,33996.1,38,697,1.0,1.0,0.0,1.0,2,4
50.0,1,1.0,2.0,0,2.0,0.0,13.0,103.36,39610.89,10,653,1.0,0.0,1.0,2.0,1,4
64.0,0,5.0,1.0,0,2.0,1.0,8.0,58.15,27995.24,18,736,1.0,0.0,0.0,1.0,2,3
27.0,1,1.0,2.0,0,2.0,2.0,10.0,862.2,35895.98,21,666,0.0,1.0,0.0,1.0,0,4
12.0,1,1.0,1.0,2,1.0,2.0,9.0,412.22,1313.11,18,733,1.0,1.0,0.0,1.0,4,2
29.0,3,4.0,2.0,1,2.0,2.0,19.0,222.69,18297.21,2,774,0.0,1.0,1.0,0.0,4,1
39.0,0,5.0,0.0,1,2.0,2.0,16.0,283.85,3888.65,18,959,1.0,0.0,0.0,1.0,4,2
37.0,0,4.0,1.0,0,1.0,0.0,17.0,136.19,6965.48,5,1181,1.0,0.0,0.0,1.0,7,3
37.0,1,1.0,0.0,1,2.0,2.0,5.0,32.29,63097.55,11,780,0.0,1.0,0.0,1.0,8,2
21.0,1,5.0,0.0,1,1.0,2.0,12.0,145.45,48500.63,11,727,0.0,1.0,1.0,2.0,1,3
64.0,1,0.0,0.0,0,2.0,0.0,10.0,313.84,23211.35,15,573,1.0,0.0,0.0,1.0,2,5
56.0,1,5.0,1.0,2,2.0,2.0,11.0,254.72,28425.26,11,789,1.0,1.0,0.0,1.0,0,3
37.0,1,0.0,0.0,1,1.0,0.0,9.0,206.56,13037.39,13,616,1.0,0.0,1.0,3.0,7,5
55.0,1,0.0,0.0,1,2.0,2.0,21.0,51.75,27564.76,24,660,0.0,1.0,0.0,1.0,7,5
18.0,0,0.0,2.0,2,2.0,0.0,10.0,117.9,49537.82,7,528,1.0,0.0,1.0,2.0,2,5
27.0,2,5.0,1.0,1,3.0,1.0,2.0,484.45,83453.57,14,788,0.0,1.0,1.0,4.0,6,2
57.0,1,4.0,0.0,2,2.0,2.0,6.0,32.89,16340.59,16,734,1.0,0.0,1.0,3.0,3,3
48.0,0,0.0,2.0,0,1.0,1.0,15.0,77.18,49448.05,5,605,0.0,1.0,1.0,0.0,2,4
54.0,1,0.0,0.0,0,1.0,2.0,8.0,60.77,45095.33,1,692,1.0,0.0,0.0,1.0,2,5
52.0,3,1.0,0.0,2,2.0,1.0,15.0,197.85,42084.72,18,710,0.0,1.0,0.0,1.0,1,3
33.0,1,3.0,2.0,2,0.0,1.0,11.0,502.4,4714.82,24,472,1.0,0.0,0.0,1.0,3,3
35.0,1,2.0,2.0,0,2.0,0.0,6.0,33.96,6175.77,22,545,1.0,0.0,0.0,1.0,2,5
42.0,0,3.0,1.0,2,0.0,1.0,13.0,617.09,33226.66,17,1053,1.0,1.0,1.0,0.0,2,3
39.0,0,1.0,0.0,1,1.0,0.0,9.0,34.93,42965.53,29,630,0.0,1.0,1.0,2.0,2,4
50.0,0,1.0,2.0,2,1.0,0.0,20.0,198.19,20710.0,10,670,0.0,1.0,1.0,4.0,2,4
29.0,0,4.0,2.0,1,1.0,2.0,11.0,317.25,17951.87,17,753,0.0,1.0,0.0,1.0,1,3
47.0,1,2.0,2.0,0,3.0,0.0,5.0,876.87,41927.46,17,636,1.0,0.0,1.0,3.0,3,3
16.0,0,1.0,0.0,1,3.0,2.0,8.0,133.36,21896.63,13,644,1.0,0.0,0.0,1.0,0,4
48.0,2,0.0,2.0,2,3.0,0.0,8.0,522.81,27264.0,11,556,1.0,1.0,1.0,3.0,3,5
14.0,0,2.0,0.0,1,1.0,0.0,10.0,33.34,46392.24,24,582,1.0,0.0,0.0,1.0,1,5
13.0,3,4.0,0.0,1,2.0,0.0,5.0,84.05,10423.83,29,1044,0.0,1.0,1.0,0.0,0,3
56.0,1,2.0,2.0,2,1.0,2.0,19.0,69.22,14117.54,12,523,0.0,1.0,1.0,3.0,3,5
64.0,0,5.0,0.0,1,1.0,1.0,14.0,32.16,67458.29,12,764,1.0,0.0,1.0,3.0,8,2
47.0,1,2.0,2.0,1,0.0,2.0,20.0,692.73,18404.11,19,1072,1.0,0.0,1.0,0.0,3,4
46.0,1,4.0,1.0,2,0.0,1.0,12.0,261.76,15786.32,16,704,0.0,1.0,0.0,1.0,2,3
45.0,1,4.0,2.0,0,2.0,1.0,14.0,38.65,1225.14,9,700,1.0,0.0,1.0,4.0,7,3
60.0,1,4.0,2.0,2,2.0,2.0,16.0,182.16,43782.88,13,761,0.0,1.0,1.0,3.0,8,2
19.0,1,4.0,2.0,2,2.0,0.0,20.0,31.98,14432.03,24,730,1.0,0.0,1.0,2.0,1,3
21.0,1,5.0,0.0,0,3.0,1.0,12.0,283.79,38527.24,26,760,1.0,0.0,1.0,0.0,0,3
60.0,0,5.0,1.0,0,0.0,1.0,9.0,1185.91,29872.64,8,744,1.0,0.0,1.0,3.0,1,3
32.0,1,1.0,0.0,0,2.0,1.0,17.0,329.16,37811.56,27,757,0.0,1.0,1.0,4.0,3,3
36.0,1,4.0,2.0,1,0.0,0.0,7.0,700.63,26571.36,13,738,1.0,1.0,0.0,1.0,4,2
52.0,1,0.0,0.0,1,2.0,2.0,3.0,166.57,45964.8,17,630,1.0,0.0,1.0,0.0,7,5
39.0,1,2.0,2.0,2,2.0,0.0,12.0,126.05,43632.02,16,594,1.0,0.0,0.0,1.0,3,5
42.0,0,5.0,0.0,1,1.0,0.0,11.0,428.35,26483.73,14,713,0.0,1.0,0.0,1.0,0,3
56.0,1,5.0,2.0,0,3.0,2.0,16.0,148.06,15456.63,29,984,0.0,1.0,1.0,3.0,0,4
17.0,1,1.0,0.0,0,1.0,0.0,15.0,196.56,1246.57,22,766,1.0,0.0,1.0,3.0,0,3
56.0,1,2.0,0.0,2,1.0,2.0,10.0,359.98,38699.34,29,560,0.0,1.0,1.0,0.0,1,4
33.0,0,4.0,0.0,0,1.0,1.0,22.0,32.47,25468.76,15,298,0.0,1.0,0.0,1.0,1,3
33.0,0,1.0,0.0,2,2.0,0.0,22.0,177.73,35286.1,16,709,1.0,0.0,1.0,0.0,3,4
41.0,1,0.0,0.0,1,2.0,0.0,9.0,493.22,20294.0,23,664,1.0,0.0,0.0,1.0,3,4
42.0,0,0.0,0.0,1,3.0,1.0,4.0,316.14,13516.16,20,659,0.0,1.0,1.0,2.0,2,5
43.0,2,1.0,2.0,1,1.0,1.0,19.0,107.18,16027.34,4,1059,0.0,1.0,1.0,2.0,8,1
12.0,0,2.0,2.0,1,3.0,2.0,22.0,108.2,2998.4,26,678,1.0,0.0,1.0,0.0,7,4
23.0,3,0.0,0.0,1,1.0,1.0,11.0,247.64,14865.87,25,613,0.0,1.0,1.0,2.0,0,5
14.0,1,1.0,0.0,1,0.0,2.0,5.0,407.97,19138.74,12,659,0.0,1.0,0.0,1.0,3,4
62.0,1,1.0,2.0,2,2.0,0.0,6.0,308.28,38497.78,21,792,1.0,0.0,1.0,4.0,7,3
60.0,1,1.0,1.0,1,1.0,1.0,7.0,67.78,14175.2,17,464,0.0,1.0,1.0,3.0,1,4
56.0,1,0.0,2.0,2,1.0,1.0,5.0,732.71,47547.72,15,936,1.0,1.0,1.0,4.0,2,4
41.0,2,1.0,2.0,1,1.0,0.0,22.0,188.96,40428.78,23,614,0.0,1.0,1.0,3.0,7,4
18.0,1,1.0,0.0,2,1.0,2.0,21.0,32.82,46250.9,2,779,1.0,0.0,0.0,1.0,8,1
63.0,3,1.0,2.0,0,0.0,0.0,17.0,1099.5,95625.4,13,805,0.0,1.0,0.0,1.0,5,1
23.0,0,1.0,2.0,2,1.0,0.0,15.0,547.87,36383.39,4,763,0.0,1.0,1.0,2.0,4,2
17.0,0,3.0,2.0,0,1.0,1.0,14.0,80.4,15214.2,16,761,1.0,0.0,0.0,1.0,0,3
42.0,0,1.0,2.0,2,1.0,2.0,8.0,179.84,39667.91,10,720,0.0,1.0,0.0,1.0,2,3
31.0,0,5.0,1.0,2,1.0,2.0,10.0,731.24,36981.7,26,774,0.0,1.0,1.0,4.0,1,3
12.0,1,1.0,0.0,0,3.0,2.0,13.0,49.19,35209.09,10,799,0.0,1.0,1.0,0.0,5,1
63.0,2,3.0,0.0,1,2.0,0.0,15.0,30.66,15079.52,23,469,1.0,0.0,0.0,1.0,7,3
16.0,1,4.0,0.0,1,1.0,0.0,7.0,34.49,31418.7,16,770,1.0,0.0,1.0,4.0,2,3
38.0,1,0.0,2.0,2,1.0,1.0,17.0,117.11,29114.92,17,521,0.0,1.0,1.0,0.0,7,5
15.0,0,3.0,0.0,1,3.0,2.0,13.26,93.76,28456.92,5,704,0.0,1.0,0.0,1.0,3,3
30.0,0,2.0,0.0,0,1.0,2.0,13.28,121.38,13374.01,12,693,1.0,0.0,0.0,1.0,3,5
64.0,3,2.0,0.0,1,0.0,1.0,10.0,445.01,37220.97,18,550,0.0,1.0,1.0,2.0,3,5
59.0,1,2.0,2.0,0,2.0,1.0,10.0,628.79,40093.14,55,622,0.0,1.0,0.0,1.0,1,4
23.0,0,2.0,0.0,1,1.0,0.0,11.0,31.45,18606.73,24,621,0.0,1.0,0.0,1.0,2,4
32.0,1,5.0,0.0,2,2.0,2.0,24.0,38.88,41019.89,19,750,0.0,1.0,1.0,2.0,5,2
